hand,won,played
22,4784,8943
33,5124,9178
44,5287,9062
55,5548,9255
66,5719,9074
77,6007,9175
88,5982,8865
99,6378,9129
TT,6438,8887
JJ,6772,8936
QQ,7126,9113
KK,7299,8963
AA,7856,9165
32s,2347,6034
42s,2355,5949
52s,2430,5943
62s,2427,6018
72s,2394,5887
82s,2541,5928
92s,2739,6144
T2s,2857,6071
J2s,2940,6024
Q2s,3129,6003
K2s,3436,6193
A2s,3534,5990
43s,2454,6089
53s,2518,6020
63s,2548,5886
73s,2512,5908
83s,2647,6041
93s,2789,6049
T3s,2841,5890
J3s,3004,5914
Q3s,3137,6097
K3s,3293,5950
A3s,3755,6231
54s,2733,6041
64s,2557,5915
74s,2654,6049
84s,2679,6048
94s,2765,6004
T4s,2911,6019
J4s,3033,5987
Q4s,3122,6004
K4s,3420,6069
A4s,3543,5929
65s,2789,6078
75s,2760,6055
85s,2796,5963
95s,2856,6056
T5s,2990,6077
J5s,3059,5949
Q5s,3278,6046
K5s,3459,6000
A5s,3723,6087
76s,2907,6092
86s,2874,5980
96s,2980,6183
T6s,3114,6124
J6s,3108,5966
Q6s,3381,6116
K6s,3597,6144
A6s,3650,5959
87s,3123,6160
97s,3005,5999
T7s,3208,6050
J7s,3293,6123
Q7s,3361,6004
K7s,3540,5973
A7s,3626,5908
98s,3145,6004
T8s,3166,5983
J8s,3331,6012
Q8s,3426,6074
K8s,3548,6043
A8s,3859,6124
T9s,3359,6095
J9s,3404,5975
Q9s,3625,6108
K9s,3645,6018
A9s,3864,6091
JTs,3493,5988
QTs,3689,6112
KTs,3706,5993
ATs,3804,5919
QJs,3701,6019
KJs,3742,6058
AJs,3913,5978
KQs,3796,5983
AQs,3935,6059
AKs,4014,6009
32o,6404,18073
42o,6653,17944
52o,6766,18047
62o,6785,18149
72o,6933,18165
82o,7038,17862
92o,7610,18060
T2o,7860,18062
J2o,8513,18258
Q2o,8995,18118
K2o,9439,17977
A2o,10315,18052
43o,6938,17877
53o,7156,18088
63o,6956,18018
73o,7240,18484
83o,7582,18418
93o,7629,18118
T3o,8203,18228
J3o,8519,17897
Q3o,8930,18033
K3o,9851,18320
A3o,10434,18114
54o,7412,18000
64o,7544,18229
74o,7505,17972
84o,7659,18295
94o,7739,18080
T4o,8224,17914
J4o,8620,18100
Q4o,9292,18199
K4o,9831,18356
A4o,10467,18001
65o,7598,18038
75o,7781,18141
85o,7921,18086
95o,8016,17873
T5o,8379,18028
J5o,8730,17994
Q5o,9394,18137
K5o,9911,18197
A5o,10675,18172
76o,8007,18051
86o,8228,18130
96o,8424,18032
T6o,8801,18335
J6o,8948,18279
Q6o,9541,18187
K6o,9986,18005
A6o,10617,17976
87o,8668,18281
97o,8715,18082
T7o,9098,18211
J7o,9365,18274
Q7o,9661,18385
K7o,10154,18108
A7o,10683,17952
98o,9029,18127
T8o,9110,17945
J8o,9496,18074
Q8o,9938,18210
K8o,10242,17948
A8o,11016,18187
T9o,9488,17956
J9o,9836,18132
Q9o,10166,18054
K9o,10593,18020
A9o,11246,18365
JTo,10038,18015
QTo,10541,18276
KTo,10888,18169
ATo,11420,18177
QJo,10545,18118
KJo,10869,17817
AJo,11371,17869
KQo,11099,18040
AQo,11719,18131
AKo,11786,18102
